"","cadmium","copper","lead","zinc","elev","dist"
"1",11.7,85,299,1022,7.909,0.00135803
"2",8.6,81,277,1141,6.983,0.0122243
"3",6.5,68,199,640,7.8,0.103029
"4",2.6,81,116,257,7.655,0.190094
"5",2.8,48,117,269,7.48,0.27709
"6",3,61,137,281,7.791,0.364067
"7",3.2,31,132,346,8.217,0.190094
"8",2.8,29,150,406,8.49,0.0921516
"9",2.4,37,133,347,8.668,0.184614
"10",1.6,24,80,183,9.049,0.309702
"11",1.4,25,86,189,9.015,0.315116
"12",1.8,25,97,251,9.073,0.228123
"13",11.2,93,285,1096,7.32,0
"14",2.5,31,183,504,8.815,0.113932
"15",2,27,130,326,8.937,0.168336
"16",9.5,86,240,1032,7.702,0
"17",7,74,133,606,7.16,0.0122243
"18",7.1,69,148,711,7.1,0.0122243
"19",8.7,69,207,735,7.02,0
"20",12.9,95,284,1052,6.86,0
"21",5.5,53,194,673,8.908,0.0703468
"22",2.8,35,123,402,8.99,0.0975136
"23",2.9,35,110,343,8.83,0.113932
"24",1.7,24,85,218,9.02,0.342321
"25",1.4,26,75,200,8.976,0.385804
"26",1.5,22,76,194,8.973,0.429289
"27",1.3,27,73,207,8.507,0.315116
"28",1.3,24,67,180,8.743,0.320574
"29",1.8,22,87,240,8.973,0.249863
"30",1.5,21,65,180,9.043,0.489064
"31",1.3,29,78,208,8.688,0.472778
"32",1.3,21,64,198,8.727,0.287957
"33",2.1,27,77,250,8.328,0.271622
"34",1.2,26,80,192,7.971,0.385807
"35",1.6,27,82,213,7.809,0.418417
"36",3,32,97,321,6.986,0.244474
"37",5.8,50,166,569,7.756,0.135709
"38",7.9,67,217,833,7.784,0.0484965
"39",8.1,77,219,906,7,0
"40",14.1,108,405,1454,6.92,0.00135803
"41",2.4,32,102,298,7.516,0.135709
"42",1.2,21,48,167,8.18,0.26622
"43",1.7,22,65,176,8.694,0.211843
"44",1.3,21,62,258,9.28,0.320572
"45",4.2,51,281,746,7.94,0.081222
"46",4.3,50,294,746,6.36,0.190086
"47",3.1,38,211,464,7.78,0.287941
"48",1.7,26,135,365,8.18,0.423826
"49",1.7,24,112,282,9.42,0.554289
"50",2.1,32,162,375,8.867,0.603225
"51",1.7,24,94,222,8.292,0.614071
"52",8.2,47,191,812,8.06,0.00135803
"53",17,128,405,1548,7.98,0
"54",12,117,654,1839,7.9,0.0054321
"55",9.4,104,482,1528,7.74,0.0054321
"56",8.2,76,276,933,7.552,0.0054321
"57",2.6,36,180,432,7.76,0.146578
"58",3.5,34,207,550,6.74,0.135684
"59",10.9,90,541,1571,6.68,0.0703333
"60",7.3,80,310,1190,7.4,0.0484831
"61",9.4,78,210,907,7.44,0.0054321
"62",8.3,77,158,761,7.36,0.0054321
"63",7,65,141,659,7.2,0.0316663
"64",6.8,66,144,643,7.22,0.0122243
"65",7.4,72,181,801,7.36,0.0122243
"66",6.6,75,173,784,5.18,0.0373395
"67",7.8,75,399,1060,5.8,0.211846
"68",0.7,22,45,119,7.64,0.451037
"69",3.4,55,325,778,6.32,0.575877
"70",3.9,47,268,703,5.76,0.0756869
"71",3.5,46,252,676,6.48,0.12481
"72",4.7,55,315,793,6.48,0.103024
"73",3.9,49,260,685,6.32,0.157469
"74",3.1,39,237,593,6.32,0.200976
"75",2.9,45,228,549,6.16,0.200976
"76",3.9,48,241,680,6.56,0.26622
"77",2.7,36,201,539,6.9,0.298835
"78",2.5,36,204,560,7.54,0.0812247
"79",5.6,68,429,1136,6.42,0.070355
"80",9.4,88,462,1383,6.28,0.0122243
"81",10.8,85,333,1161,6.34,0
"82",18.1,76,464,1672,7.307,0.0537723
"83",6.3,63,159,765,5.7,0.0593662
"84",2.1,32,116,279,7.72,0.211843
"85",1.8,25,81,241,7.932,0.12481
"86",2.2,27,131,317,7.82,0.12481
"87",2.8,36,216,545,8.575,0.0921516
"88",2.4,41,145,505,8.536,0.113941
"89",2.6,33,163,420,8.504,0.179216
"90",1.8,27,129,332,8.659,0.233596
"91",2,38,148,400,7.633,0.336861
"92",2.7,37,214,553,8.538,0.070355
"93",2.7,34,226,577,7.68,0.0593662
"94",0.9,19,54,155,7.564,0.255341
"95",0.9,22,70,224,7.76,0.364067
"96",0.4,26,73,180,7.653,0.429295
"97",0.8,25,87,226,7.951,0.380328
"98",0.4,22,76,186,8.176,0.249874
"99",0.4,24,81,198,8.468,0.266212
"100",0.4,18,68,187,8.41,0.451037
"101",0.8,23,66,199,7.61,0.30971
"102",0.4,22,49,157,7.792,0.293359
"103",0.4,23,63,203,8.76,0.532351
"104",0.4,23,48,143,9.879,0.619513
"105",0.2,23,51,136,9.097,0.684725
"106",0.2,18,50,117,9.095,0.809742
"107",0.4,20,39,113,9.717,0.880389
"108",0.2,22,48,130,9.924,0.749591
"109",0.2,27,64,192,9.404,0.575752
"110",0.4,25,84,240,10.52,0.581484
"111",0.2,30,67,221,8.84,0.49452
"112",0.2,23,49,140,8.472,0.32058
"113",0.2,24,48,128,9.634,0.336851
"114",0.2,21,56,166,9.206,0.249852
"115",0.2,24,65,191,8.47,0.0756869
"116",0.2,21,84,232,8.463,0.0756869
"117",0.2,23,75,203,9.691,0.162853
"118",3.7,53,250,722,8.704,0.0974916
"119",0.2,33,81,210,9.42,0.440142
"120",0.2,22,72,198,9.573,0.4619
"121",0.2,23,86,139,9.555,0.222701
"122",0.2,25,94,253,8.779,0.103024
"123",1.2,30,244,703,8.54,0.0921353
"124",2.4,47,297,832,8.809,0.0484884
"125",0.2,31,96,262,9.523,0.168331
"126",0.2,20,56,142,9.811,0.38581
"127",0.2,16,49,119,9.604,0.489064
"128",0.2,17,50,152,9.732,0.57602
"129",0.4,26,148,415,9.518,0.0812194
"130",1.6,34,162,474,9.72,0.0373369
"131",0.8,18,37,126,9.036,0.771698
"132",1.2,23,80,210,9.528,0.336829
"133",0.2,20,80,220,9.155,0.228123
"134",0.2,14,49,133,10.08,0.597761
"135",0.8,46,42,141,9.97,0.44558
"136",1,29,48,158,10.136,0.396675
"137",0.8,19,41,129,10.32,0.581478
"138",1.2,31,73,206,9.041,0.287966
"139",2,27,146,451,7.86,0.233596
"140",1.5,29,95,296,8.741,0.364067
"141",1.1,22,72,189,7.822,0.331454
"142",0.8,20,51,154,7.78,0.211846
"143",0.8,20,54,169,8.121,0.103029
"144",2.1,29,136,403,8.231,0.070355
"145",2.5,38,170,471,8.351,0.146576
"146",3.8,39,179,612,7.3,0.0537723
"147",3.2,35,200,601,7.536,0.119286
"148",3.1,42,258,783,7.706,0.0921435
"149",1.5,24,93,258,8.07,0.249863
"150",1.2,20,68,214,8.226,0.37494
"151",0.8,20,49,166,8.128,0.423837
"152",3.1,39,173,496,8.577,0.423837
"153",2.1,31,119,342,8.429,0.27709
"154",0.8,21,51,162,9.406,0.358606
"155",2.7,27,124,375,8.261,0.0122243
